rank,game,prize,players,tournaments,month,year
58,FIFA 22,2421.74,4,1,8,2022
59,Lichess,2250.0,9,2,8,2022
60,osu!,2037.47,3,1,8,2022
61,DNF Duel,1644.27,8,1,8,2022
62,Blaston,1600.0,9,2,8,2022
63,Age of Empires,1315.65,12,3,8,2022
64,Clash of Clans,1000.0,20,1,8,2022
65,Ultra Street Fighter IV,941.16,8,1,8,2022
66,Street Fighter III: 3rd Strike,790.43,3,1,8,2022
67,Mobile Legends: Bang Bang,653.87,8,1,8,2022
68,Ultimate Marvel vs. Capcom 3,372.14,4,1,8,2022
69,Age of Empires Online,300.0,3,3,8,2022
70,Super Street Fighter II Turbo,289.77,3,1,8,2022
71,Age of Mythology,250.0,4,1,8,2022
72,Blankos Block Party,250.0,3,1,8,2022
73,rFactor 2,167.78,20,1,8,2022
74,ARMS,100.0,3,1,8,2022
1,Arena of Valor,2775888.02,187,4,9,2022
2,League of Legends,1560213.74,463,11,9,2022
3,PLAYERUNKNOWN’S BATTLEGROUNDS,1180024.08,339,9,9,2022
4,VALORANT,1016462.71,171,6,9,2022
5,Clash of Clans,1000000.0,100,1,9,2022
6,Clash Royale,930000.0,16,1,9,2022
7,Overwatch 2,654250.0,246,7,9,2022
8,Call of Duty: Warzone,600000.0,118,4,9,2022
9,Halo Infinite,430600.0,72,3,9,2022
10,Free Fire,378606.83,106,3,9,2022
11,Counter-Strike: Global Offensive,362033.67,331,23,9,2022
12,Fortnite,247600.0,187,25,9,2022
13,Magic: The Gathering Arena,200000.0,32,1,9,2022
14,League of Legends: Wild Rift,181250.0,90,2,9,2022
15,chess24,140000.0,16,1,9,2022
16,Rocket League,115207.81,168,16,9,2022
17,Brawlhalla,104950.0,140,11,9,2022
18,Apex Legends,69190.6,141,24,9,2022
19,Chess.com,65000.0,16,1,9,2022
20,Call of Duty: Mobile,56568.0,35,3,9,2022
21,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,54770.7,94,2,9,2022
22,StarCraft II,53099.2,70,20,9,2022
23,Dota 2,48349.96,94,3,9,2022
24,Assetto Corsa Competizione,30160.0,10,1,9,2022
25,WRC 10 FIA World Rally Championship,25250.0,1,1,9,2022
26,Super Smash Bros. Ultimate,22747.26,40,7,9,2022
27,Rainbow Six Siege,22000.0,68,4,9,2022
28,Age of Empires II,21608.22,111,18,9,2022
29,Quake Champions,19643.86,16,1,9,2022
30,Tekken 7,18058.46,24,6,9,2022
31,WarCraft III: Reforged,17536.0,12,9,9,2022
32,Street Fighter V: Champion Edition,13858.4,27,5,9,2022
33,Assetto Corsa,12668.5,20,2,9,2022
34,Age of Empires IV,11296.82,53,15,9,2022
35,Guilty Gear -STRIVE-,11080.12,27,4,9,2022
36,Trackmania (2020),10662.45,108,21,9,2022
37,rFactor 2,9960.0,8,1,9,2022
38,osu!,7216.48,52,7,9,2022
39,DNF Duel,7080.8,25,4,9,2022
40,Teamfight Tactics,7021.0,24,1,9,2022
41,Vampire Savior,7000.0,8,1,9,2022
42,Rezzil Player,5200.0,10,1,9,2022
43,Mobile Legends: Bang Bang,5100.0,29,1,9,2022
44,Dragon Ball FighterZ,4319.76,25,4,9,2022
45,Age of Empires,3775.27,52,5,9,2022
46,Guilty Gear Xrd REV 2,3500.4,10,2,9,2022
47,Minecraft,3500.0,12,3,9,2022
48,King of Fighters XV,3346.0,26,4,9,2022
49,Melty Blood: Type Lumina,2602.18,18,3,9,2022
50,BlazBlue: Central Fiction,2530.0,11,2,9,2022
51,Diabotical,2507.4,16,9,9,2022
52,Lichess,2000.0,7,2,9,2022
53,Under Night In-Birth Exe:Late[cl-r],1480.0,10,2,9,2022
54,Age of Mythology,1440.0,12,6,9,2022
55,Granblue Fantasy: Versus,1369.86,19,3,9,2022
56,Persona 4 Arena Ultimax,1320.0,8,1,9,2022
57,MultiVersus,1000.0,8,1,9,2022
58,TrackMania Nations Forever,991.81,10,1,9,2022
59,Guilty Gear XX Accent Core Plus R,900.0,8,1,9,2022
60,BlazBlue: Cross Tag Battle,860.0,8,1,9,2022
61,JoJo's Bizarre Adventure: All Star Battle R,780.0,8,1,9,2022
62,Skullgirls 2nd Encore,780.0,8,1,9,2022
63,Age of Empires Online,745.0,12,8,9,2022
64,Melty Blood: Actress Again Current Code,650.0,8,1,9,2022
65,Blaston,632.08,6,2,9,2022
66,Street Fighter III: 3rd Strike,490.0,3,1,9,2022
67,Mortal Kombat 11,353.66,8,2,9,2022
68,Street Fighter Alpha 2,350.0,3,1,9,2022
